GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo2,com.exampletwo,AverageMethod,50,21,0,0,12,5,2,2,2,2
demo2,com.exampletwo,MethodReturnTypes,13,6,0,0,5,3,2,3,2,3
